"array","sample","round","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","array2"
1,98,8,86659,64621,107380,147076,311,288,4085,0,0,0,0,0,0,0,20094,137209,304290,842285,2743,2753,65791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,64,10,87024,65851,112279,140474,342,274,4107,0,0,0,0,0,0,0,20279,143693,328646,809290,3138,2711,67478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,98,8,86659,64621,107380,147076,311,288,4085,0,0,0,0,0,0,0,20094,137209,304290,842285,2743,2753,65791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,24,10,85529,64634,109759,146716,279,240,3380,0,0,0,0,0,0,0,19527,135278,308955,841068,2926,2708,64587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,24,10,85529,64634,109759,146716,279,240,3380,0,0,0,0,0,0,0,19527,135278,308955,841068,2926,2708,64587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,24,10,85529,64634,109759,146716,279,240,3380,0,0,0,0,0,0,0,19527,135278,308955,841068,2926,2708,64587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,24,10,85529,64634,109759,146716,279,240,3380,0,0,0,0,0,0,0,19527,135278,308955,841068,2926,2708,64587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,24,10,85529,64634,109759,146716,279,240,3380,0,0,0,0,0,0,0,19527,135278,308955,841068,2926,2708,64587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,24,10,85529,64634,109759,146716,279,240,3380,0,0,0,0,0,0,0,19527,135278,308955,841068,2926,2708,64587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,24,10,85529,64634,109759,146716,279,240,3380,0,0,0,0,0,0,0,19527,135278,308955,841068,2926,2708,64587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,24,10,85529,64634,109759,146716,279,240,3380,0,0,0,0,0,0,0,19527,135278,308955,841068,2926,2708,64587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,24,10,85529,64634,109759,146716,279,240,3380,0,0,0,0,0,0,0,19527,135278,308955,841068,2926,2708,64587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,74,7,93041,60177,105608,147431,260,214,3390,0,0,0,0,0,0,0,23478,120796,289376,871371,2620,2317,65507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,98,8,86659,64621,107380,147076,311,288,4085,0,0,0,0,0,0,0,20094,137209,304290,842285,2743,2753,65791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,24,10,85529,64634,109759,146716,279,240,3380,0,0,0,0,0,0,0,19527,135278,308955,841068,2926,2708,64587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
